OpCode,Drop,Rig,Region,Island,Lat,Long,Depth,Family,Genus,Species,Code,Number,Activity,Comment,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader
BIOT_7097_EGMT_083_RIG4,83,RIG4,Egmont,Ile Des Rats,06 38.204,71 18.977,8.8 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,29617,16.4704,1125.833,2.477,20.796,2067.434,14.168,4.659,2.385,-77.351,500.104,-2004.544,Lauren Peel
BIOT_7097_EGMT_083_RIG4,83,RIG4,Egmont,Ile Des Rats,06 38.204,71 18.977,8.8 m,Ginglymostomatidae,Nebrius,ferrugineus,37013010,1,Attracted,Female,3389,19.6029,884.442,1.315,14.313,1245.103,6.662,7.048,4.624,-116.708,-85.1,-1236.697,Lauren Peel
BIOT_7097_EGMT_084_RIG5,84,RIG5,Egmont,Ile Des Rats,06 38.297,71 18.836,10.6 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,Male,19273,46.1539,723.704,2.018,15.161,2123.28,7.401,3.388,22.437,-191.509,195.287,-2105.589,Lauren Peel
BIOT_7097_EGMT_084_RIG5,84,RIG5,Egmont,Ile Des Rats,06 38.297,71 18.836,10.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,21444,47.3613,979.829,3.124,18.181,2068.339,13.874,13.312,11.831,-454.048,-199.543,-2007.997,Lauren Peel
BIOT_7097_EGMT_084_RIG5,84,RIG5,Egmont,Ile Des Rats,06 38.297,71 18.836,10.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,21480,47.3813,723.26,3.924,11.188,2683.935,15.045,10.082,23.482,565.701,406.666,-2591.932,Lauren Peel
BIOT_7097_EGMT_084_RIG5,84,RIG5,Egmont,Ile Des Rats,06 38.297,71 18.836,10.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,21804,47.5615,716.111,3.247,17.391,3429.451,5.065,2.12,31.769,-279.138,117.258,-3416.06,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,,7254,4.034,765.02,4.417,3.997,2659.945,16.095,10.312,12.992,-667.988,-312.416,-2555.679,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Attracted,,13860,7.7077,790.48,7.048,4.393,2835.569,8.581,26.958,0.45,232.71,-353.348,-2803.826,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Passing,,13953,7.7594,779.422,2.763,4.95,1847.871,17.439,17.969,8.094,-527.356,-169.003,-1762.941,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,Male,29778,16.5599,814.03,6.007,4.872,3124.151,18.853,8.897,10.008,911.671,-433.642,-2956.54,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,24049,31.0922,1013.167,10.644,8.878,4343.417,18.142,6.605,1.878,1207.617,-608.901,-4127.49,Lauren Peel
BIOT_7097_EGMT_085_RIG4,85,RIG4,Egmont,Ile Des Rats,06 38.452,71 18.744,7.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,24086,31.1128,916.358,7.719,5.954,3373.432,5.619,19.877,3.097,14.881,-329.97,-3357.222,Lauren Peel
