Date,Island,Site,Name,GPS_south,GPS_east,Compass_bearing,Transect,Transect_placement,Treatment,Treatment_ABC,Tag_number,T_start_depth_ft,T_end_depth_ft,Notes,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,4.6,Uncaged,,69,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,9.2,Caged,,70,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,9.2,Uncaged,,70,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,~15,Partial,,71,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,~15,Caged,,71,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,~15,Uncaged,,71,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,21,Partial,,72,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,21,Caged,,72,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,21,Uncaged,,72,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,26,Caged,,73,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,1,26,Uncaged,,73,,,,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~0,Partial,,74,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~0,Caged,,74,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~0,Uncaged,,74,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~5,Caged,,75,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~5,Uncaged,,75,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~10,Caged,,76,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~10,Uncaged,,76,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~15,Partial,,77,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~15,Caged,,77,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~15,Uncaged,,77,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~20,Partial,,78,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~20,Caged,,78,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~20,Uncaged,,78,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~25,Caged,,79,,,Not exactly sure,,,,
14-Mar-19,Middle Brother,Outside,Middle Brother,,,310,2,~25,Uncaged,,79,,,Not exactly sure,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,0,Partial,,80,,,,,,,
