Date,Island,Site,Tile,Treatment,Treatment_ABC,Tile_side?,Tube_ID,Diameter,Diameter_mm,Notes,Is it a coral?,Rachel's opinion,Rachel's notes,Final Decision,Coral_size_bin,
22-Nov-21,Salomon,Il Anglaise Lagoon,54,Caged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,53,Uncaged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,53,Partial,,Bottom/side,71,2.5 X 1.7cm,,montipora or porites,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,53,Partial,,Bottom,72,2mm,2,shared corallite walls (favites?),Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,53,Caged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,52,Uncaged,,Bottom,73,0.5cm,,Pocillopora?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,52,Caged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,51,Uncaged,,Bottom,74,9mm,,Favites? Alveopora?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,51,Uncaged,,Bottom,75,2 X 1.3cm,,Pocillopora?,Y,,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,51,Caged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Uncaged,,Bottom/side,76,7 X 2cm,,Montipora?,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Partial,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Caged,,Bottom,77,0.9cm,,,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Caged,,Bottom,78,0.5cm,,same as 077?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Caged,,Bottom,79,0.3cm,,same as 077?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Caged,,Bottom,80,0.2cm,,same as 077?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,Coral larvae?? Collected at site on the surface,,,,81,,,,,,,,,
25-Nov-21,Nelson,Nelson,56,Uncaged,,,None,,,,,,,,,
25-Nov-21,Nelson,Nelson,56,Caged,,Top/side,82,2 X 2cm,,Acropora,Y,,,Y,medium,
25-Nov-21,Nelson,Nelson,57,Uncaged,,,None,,,,,,,,,
25-Nov-21,Nelson,Nelson,57,Caged,,,None,,,,,,,,,
25-Nov-21,Nelson,Nelson,58,Uncaged,,,None,,,,,,,,,
25-Nov-21,Nelson,Nelson,59,Uncaged,,Bottom/side,83,2.5X1cm,,,Y,,,Y,large,
25-Nov-21,Nelson,Nelson,59,Caged,,Side,84,3 X 1cm,,,Y,,,Y,large,
